"id","sale_date","sale_time","gender","age","category","quantity","price_per_unit","total_sale","year","month","timeofday","name_day"
1,"2022-12-16","19:10:00","Male",34,"Beauty",3,"50.00","150.00",2022,"December","Evening","Friday"
2,"2022-06-24","10:07:00","Female",26,"Clothing",2,"500.00","1000.00",2022,"June","Morning","Friday"
3,"2022-06-14","07:08:00","Male",50,"Electronics",1,"30.00","30.00",2022,"June","Morning","Tuesday"
4,"2023-08-27","18:12:00","Male",37,"Clothing",1,"500.00","500.00",2023,"August","Evening","Sunday"
5,"2023-09-05","22:10:00","Male",30,"Beauty",2,"50.00","100.00",2023,"September","Night","Tuesday"
6,"2023-11-15","22:16:00","Female",45,"Beauty",1,"30.00","30.00",2023,"November","Night","Wednesday"
7,"2023-07-06","06:24:00","Male",46,"Clothing",2,"25.00","50.00",2023,"July","Morning","Thursday"
8,"2022-12-27","11:19:00","Male",30,"Electronics",4,"25.00","100.00",2022,"December","Morning","Tuesday"
9,"2022-12-02","13:12:00","Male",63,"Electronics",2,"300.00","600.00",2022,"December","Afternoon","Friday"
10,"2022-10-24","22:55:00","Female",52,"Clothing",4,"50.00","200.00",2022,"October","Night","Monday"
11,"2022-02-27","10:30:00","Male",23,"Clothing",2,"50.00","100.00",2022,"February","Morning","Sunday"
12,"2022-12-09","22:09:00","Male",35,"Beauty",3,"25.00","75.00",2022,"December","Night","Friday"
13,"2023-02-08","17:43:00","Male",22,"Electronics",3,"500.00","1500.00",2023,"February","Evening","Wednesday"
14,"2022-05-18","07:11:00","Male",64,"Clothing",4,"30.00","120.00",2022,"May","Morning","Wednesday"
15,"2022-07-01","11:50:00","Female",42,"Electronics",4,"500.00","2000.00",2022,"July","Morning","Friday"
16,"2022-06-25","10:33:00","Male",19,"Clothing",3,"500.00","1500.00",2022,"June","Morning","Saturday"
17,"2023-02-25","21:08:00","Female",27,"Clothing",4,"25.00","100.00",2023,"February","Night","Saturday"
18,"2023-09-06","19:13:00","Female",47,"Electronics",2,"25.00","50.00",2023,"September","Evening","Wednesday"
19,"2023-11-26","19:39:00","Female",62,"Clothing",2,"25.00","50.00",2023,"November","Evening","Sunday"
20,"2023-12-12","21:35:00","Male",22,"Clothing",3,"300.00","900.00",2023,"December","Night","Tuesday"
21,"2022-07-11","07:33:00","Female",50,"Beauty",1,"500.00","500.00",2022,"July","Morning","Monday"
22,"2023-11-25","17:11:00","Male",18,"Clothing",2,"50.00","100.00",2023,"November","Evening","Saturday"
23,"2023-09-28","07:05:00","Female",35,"Clothing",4,"30.00","120.00",2023,"September","Morning","Thursday"
24,"2023-12-14","22:59:00","Female",49,"Clothing",1,"300.00","300.00",2023,"December","Night","Thursday"
25,"2022-11-20","14:32:00","Female",64,"Beauty",1,"50.00","50.00",2022,"November","Afternoon","Sunday"
26,"2023-10-14","17:54:00","Female",28,"Electronics",2,"500.00","1000.00",2023,"October","Evening","Saturday"
27,"2023-12-14","19:44:00","Female",38,"Beauty",2,"25.00","50.00",2023,"December","Evening","Thursday"
28,"2023-12-11","22:34:00","Female",43,"Beauty",1,"500.00","500.00",2023,"December","Night","Monday"
29,"2022-03-08","20:10:00","Female",42,"Electronics",1,"30.00","30.00",2022,"March","Evening","Tuesday"
30,"2023-10-10","20:05:00","Female",39,"Beauty",3,"300.00","900.00",2023,"October","Evening","Tuesday"
31,"2023-12-31","17:47:00","Male",44,"Electronics",4,"300.00","1200.00",2023,"December","Evening","Sunday"
32,"2022-07-16","09:11:00","Male",30,"Beauty",3,"30.00","90.00",2022,"July","Morning","Saturday"
33,"2023-12-24","07:40:00","Female",50,"Electronics",2,"50.00","100.00",2023,"December","Morning","Sunday"
34,"2023-09-24","13:26:00","Female",51,"Clothing",3,"50.00","150.00",2023,"September","Afternoon","Sunday"
35,"2022-10-29","17:30:00","Female",58,"Beauty",3,"300.00","900.00",2022,"October","Evening","Saturday"
36,"2023-02-22","22:06:00","Male",52,"Beauty",3,"300.00","900.00",2023,"February","Night","Wednesday"
37,"2023-05-26","22:42:00","Female",18,"Beauty",3,"25.00","75.00",2023,"May","Night","Friday"
38,"2023-02-25","11:39:00","Male",38,"Beauty",4,"50.00","200.00",2023,"February","Morning","Saturday"
39,"2023-07-11","22:44:00","Male",23,"Clothing",4,"30.00","120.00",2023,"July","Night","Tuesday"
40,"2022-06-07","21:33:00","Male",45,"Beauty",1,"50.00","50.00",2022,"June","Night","Tuesday"
41,"2022-10-11","10:36:00","Male",34,"Clothing",2,"25.00","50.00",2022,"October","Morning","Tuesday"
42,"2022-12-08","08:29:00","Male",22,"Clothing",3,"300.00","900.00",2022,"December","Morning","Thursday"
43,"2023-03-18","21:42:00","Female",48,"Clothing",1,"300.00","300.00",2023,"March","Night","Saturday"
44,"2022-03-03","11:07:00","Female",22,"Clothing",1,"25.00","25.00",2022,"March","Morning","Thursday"
45,"2022-03-20","18:27:00","Female",55,"Electronics",1,"30.00","30.00",2022,"March","Evening","Sunday"
46,"2022-11-08","17:50:00","Female",20,"Electronics",4,"300.00","1200.00",2022,"November","Evening","Tuesday"
47,"2022-10-22","17:22:00","Female",40,"Beauty",3,"500.00","1500.00",2022,"October","Evening","Saturday"
48,"2023-10-06","17:34:00","Male",54,"Electronics",3,"300.00","900.00",2023,"October","Evening","Friday"
49,"2022-09-17","10:33:00","Female",54,"Electronics",2,"500.00","1000.00",2022,"September","Morning","Saturday"
50,"2022-03-29","18:51:00","Female",27,"Beauty",3,"25.00","75.00",2022,"March","Evening","Tuesday"
51,"2022-10-12","22:09:00","Male",27,"Beauty",3,"25.00","75.00",2022,"October","Night","Wednesday"
52,"2022-09-19","09:42:00","Female",36,"Beauty",1,"300.00","300.00",2022,"September","Morning","Monday"
53,"2022-01-06","17:57:00","Male",34,"Electronics",2,"50.00","100.00",2022,"January","Evening","Thursday"
54,"2022-10-20","10:17:00","Female",38,"Electronics",3,"500.00","1500.00",2022,"October","Morning","Thursday"
55,"2023-09-28","20:32:00","Male",31,"Beauty",4,"30.00","120.00",2023,"September","Evening","Thursday"
56,"2022-12-27","19:37:00","Female",26,"Clothing",3,"300.00","900.00",2022,"December","Evening","Tuesday"
57,"2022-10-11","20:12:00","Female",63,"Beauty",1,"30.00","30.00",2022,"October","Evening","Tuesday"
58,"2023-09-16","19:18:00","Male",18,"Clothing",4,"300.00","1200.00",2023,"September","Evening","Saturday"
59,"2022-11-14","18:28:00","Male",62,"Clothing",1,"50.00","50.00",2022,"November","Evening","Monday"
60,"2022-12-04","18:15:00","Male",30,"Beauty",3,"50.00","150.00",2022,"December","Evening","Sunday"
61,"2023-07-07","11:47:00","Male",21,"Beauty",4,"50.00","200.00",2023,"July","Morning","Friday"
62,"2023-09-16","12:54:00","Male",18,"Beauty",2,"50.00","100.00",2023,"September","Afternoon","Saturday"
63,"2022-02-03","11:49:00","Male",57,"Electronics",2,"25.00","50.00",2022,"February","Morning","Thursday"
64,"2022-11-15","06:34:00","Male",49,"Clothing",4,"25.00","100.00",2022,"November","Morning","Tuesday"
65,"2022-12-11","20:03:00","Male",51,"Electronics",4,"500.00","2000.00",2022,"December","Evening","Sunday"
66,"2023-06-18","22:49:00","Female",45,"Electronics",1,"30.00","30.00",2023,"June","Night","Sunday"
67,"2023-08-19","20:19:00","Female",48,"Beauty",4,"300.00","1200.00",2023,"August","Evening","Saturday"
68,"2022-12-15","09:06:00","Male",25,"Electronics",1,"300.00","300.00",2022,"December","Morning","Thursday"
69,"2023-11-14","22:44:00","Female",56,"Beauty",3,"25.00","75.00",2023,"November","Night","Tuesday"
70,"2022-12-27","10:48:00","Female",43,"Clothing",1,"300.00","300.00",2022,"December","Morning","Tuesday"
71,"2023-02-16","19:11:00","Female",51,"Beauty",4,"25.00","100.00",2023,"February","Evening","Thursday"
72,"2023-12-06","19:19:00","Female",20,"Electronics",4,"500.00","2000.00",2023,"December","Evening","Wednesday"
73,"2022-01-14","21:47:00","Male",29,"Electronics",3,"30.00","90.00",2022,"January","Night","Friday"
74,"2023-10-05","19:50:00","Female",18,"Beauty",4,"500.00","2000.00",2023,"October","Evening","Thursday"
75,"2023-05-15","20:51:00","Male",61,"Beauty",4,"50.00","200.00",2023,"May","Evening","Monday"
76,"2023-09-09","07:33:00","Female",22,"Electronics",2,"50.00","100.00",2023,"September","Morning","Saturday"
77,"2022-04-07","20:45:00","Female",47,"Clothing",2,"50.00","100.00",2022,"April","Evening","Thursday"
78,"2023-02-17","21:08:00","Female",47,"Clothing",3,"500.00","1500.00",2023,"February","Night","Friday"
79,"2023-04-13","10:15:00","Male",34,"Beauty",1,"300.00","300.00",2023,"April","Morning","Thursday"
80,"2023-10-22","16:51:00","Female",64,"Clothing",2,"30.00","60.00",2023,"October","Afternoon","Sunday"
81,"2023-06-07","22:48:00","Male",40,"Electronics",1,"50.00","50.00",2023,"June","Night","Wednesday"
82,"2022-09-08","12:55:00","Female",32,"Beauty",4,"50.00","200.00",2022,"September","Afternoon","Thursday"
83,"2022-11-27","15:57:00","Male",54,"Electronics",2,"50.00","100.00",2022,"November","Afternoon","Sunday"
84,"2023-11-10","17:17:00","Female",38,"Electronics",3,"30.00","90.00",2023,"November","Evening","Friday"
85,"2022-09-03","08:05:00","Male",31,"Clothing",3,"50.00","150.00",2022,"September","Morning","Saturday"
